,Unnamed: 0,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
59,108,24.0,Knoxville,37996,33.0,39170.0,TN,103,3.9,3.2,31160,2.9,University of Tennessee,public,The University of Tennessee-Knoxville,1,5,0.7697,22151.0,0.7838,0.0655,0.0395,0.0365,0.0021,0.0009,0.0316,0.0149,0.0252,0.0561,30226.0,12970.0,31390.0,11570.0,13853.0,10893.0,0.8751,19335.0,2299.0,1280.0
62,111,23.0,San Francisco,94117,46.0,42433.0,CA,110,3.4,2.8,46250,2.806829268292683,University of San Francisco,private,University of San Francisco,1,8,0.6563,6796.0,0.2566,0.039,0.216,0.2247,0.0026,0.0068,0.0677,0.1669,0.0197,0.0337,63117.0,46250.0,46250.0,27756.0,16898.0,13405.0,0.4125,32210.0,964.0,1203.0
63,113,21.0,Salt Lake City,84112,11.0,35873.0,UT,110,3.6,3.2,26408,2.9,University of Utah,public,University of Utah,1,7,0.6615,23402.0,0.6857,0.0142,0.1279,0.0581,0.004,0.0048,0.0525,0.0455,0.0074,0.2377,19406.0,8884.0,28127.0,11482.0,15420.0,9781.0,0.9057,13728.0,1017.0,1234.0
70,120,22.0,Chicago,60604,59.0,42438.0,IL,120,3.6,3.0,39010,2.806829268292683,DePaul University,private,DePaul University,1,3,0.7174,14591.0,0.527,0.0811,0.1929,0.0947,0.0012,0.0015,0.0371,0.0333,0.0311,0.1186,52969.0,39010.0,39010.0,23156.0,12582.0,10699.0,0.4938,30559.0,1588.0,1030.0
72,122,23.0,Columbia,65211,33.0,27962.0,MO,120,3.5465020576131687,3.0,26506,2.5,University of Missouri,public,University of Missouri-Columbia,1,4,0.7809,23455.0,0.7843,0.075,0.0395,0.0254,0.0021,0.0004,0.0326,0.0341,0.0066,0.0564,25656.0,9787.0,26506.0,11279.0,12083.0,9334.0,0.7179,18602.0,1583.0,1249.0
74,124,22.0,Fort Collins,80523,16.0,39497.0,CO,124,3.6,2.9,29140,2.8,Colorado State University,public,Colorado State University-Fort Collins,1,7,0.8262,23804.0,0.7215,0.0234,0.1329,0.0258,0.005,0.0018,0.0379,0.0372,0.0145,0.1009,25932.0,11395.0,28903.0,14759.0,11951.0,9688.0,0.6665,18700.0,1840.0,1212.0
76,126,23.0,South Orange,7079,35.27972027972028,33920.86713286713,NJ,124,3.6,2.8,40588,2.806829268292683,Seton Hall University,private,Seton Hall University,1,2,0.7316,5717.0,0.4903,0.0857,0.1789,0.1048,0.0012,0.0014,0.0404,0.0362,0.061,0.0297,53433.0,40588.0,40588.0,23079.0,10812.0,9493.0,0.9558,27563.0,815.0,1222.0
79,130,22.0,Lincoln,68588,21.0,28968.0,NE,124,3.5,3.2,23256,2.6,University of Nebraska--Lincoln,public,University of Nebraska-Lincoln,2,4,0.6438,20954.0,0.7475,0.0278,0.0617,0.0273,0.0025,0.0009,0.0313,0.0889,0.0122,0.0678,23278.0,8978.0,24098.0,9764.0,12043.0,10762.0,0.9388,17784.0,2144.0,1235.0
80,131,24.0,Hempstead,11549,61.0,40205.0,NY,132,3.6,2.7,43960,3.0,Hofstra University,private,Hofstra University,1,2,0.6395,6783.0,0.5598,0.0851,0.1297,0.1045,0.0044,0.005,0.0267,0.0587,0.0261,0.0463,56910.0,43960.0,43960.0,26964.0,17048.0,13227.0,0.4338,32240.0,982.0,1237.0
81,132,23.0,Baton Rouge,70803,14.0,40711.0,LA,133,3.4,2.8,28051,2.5,Louisiana State University--Baton Rouge,public,Louisiana State University and Agricultural & Mechanical College,1,5,0.7392,23331.0,0.721,0.1187,0.0637,0.0431,0.0037,0.0013,0.0201,0.0198,0.0086,0.0592,27612.0,11374.0,28051.0,11816.0,11087.0,9922.0,0.9134,18181.0,2735.0,1226.0
83,134,23.0,New York,10011,41.0,50853.0,NY,133,3.3,2.8343347639484984,47330,2.806829268292683,The New School,private,The New School,1,2,0.6151,6982.0,0.3251,0.057,0.1195,0.0961,0.001,0.0013,0.0394,0.3201,0.0405,0.1144,64523.0,47276.0,47276.0,30028.0,15450.0,11317.0,0.1746,40819.0,713.0,1223.0
