act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
24.0,Dayton,45469,46.0,34204.0,OH,124,3.7,2.5,41750,2.2,University of Dayton,private,University of Dayton,1,3,0.7168,8422.0,0.7926,0.0278,0.0519,0.0138,0.0009,0.0007,0.0338,0.0704,0.0081,0.0424,56370.0,41750.0,41750.0,19321.0,12533.0,8687.0,0.6174,32721.0,1028.0,1254.0
22.0,Lincoln,68588,21.0,28968.0,NE,124,3.5,3.2,23256,2.6,University of Nebraska--Lincoln,public,University of Nebraska-Lincoln,2,4,0.6438,20954.0,0.7475,0.0278,0.0617,0.0273,0.0025,0.0009,0.0313,0.0889,0.0122,0.0678,23278.0,8978.0,24098.0,9764.0,12043.0,10762.0,0.9388,17784.0,2144.0,1235.0
24.0,Hempstead,11549,61.0,40205.0,NY,132,3.6,2.7,43960,3.0,Hofstra University,private,Hofstra University,1,2,0.6395,6783.0,0.5598,0.0851,0.1297,0.1045,0.0044,0.005,0.0267,0.0587,0.0261,0.0463,56910.0,43960.0,43960.0,26964.0,17048.0,13227.0,0.4338,32240.0,982.0,1237.0
23.0,Baton Rouge,70803,14.0,40711.0,LA,133,3.4,2.8,28051,2.5,Louisiana State University--Baton Rouge,public,Louisiana State University and Agricultural & Mechanical College,1,5,0.7392,23331.0,0.721,0.1187,0.0637,0.0431,0.0037,0.0013,0.0201,0.0198,0.0086,0.0592,27612.0,11374.0,28051.0,11816.0,11087.0,9922.0,0.9134,18181.0,2735.0,1226.0
25.0,Macon,31207,67.0,26615.0,GA,133,3.8,2.2,36000,3.0,Mercer University,private,Mercer University,1,5,0.7326,4708.0,0.4798,0.2927,0.0537,0.0697,0.0019,0.0013,0.0331,0.024,0.0438,0.1257,49848.0,36000.0,36000.0,17797.0,12442.0,8441.0,0.9569,20812.0,563.0,1285.0
23.0,New York,10011,41.0,50853.0,NY,133,3.3,,47330,,The New School,private,The New School,1,2,0.6151,6982.0,0.3251,0.057,0.1195,0.0961,0.001,0.0013,0.0394,0.3201,0.0405,0.1144,64523.0,47276.0,47276.0,30028.0,15450.0,11317.0,0.1746,40819.0,713.0,1223.0
,Newark,7102,26.0,38949.0,NJ,133,,2.9,29480,,Rutgers University--Newark,public,Rutgers University-Newark,3,2,0.6424,8122.0,0.2257,0.2001,0.289,0.1795,0.0007,0.0027,0.026,0.0543,0.022,0.1189,24719.0,14085.0,30026.0,17980.0,11571.0,13595.0,0.5645,13205.0,966.0,1086.0
23.0,Fayetteville,72701,16.0,33514.0,AR,133,3.7,3.2,24308,2.5,University of Arkansas,public,University of Arkansas,1,5,0.6596,22763.0,0.7619,0.0446,0.0877,0.0249,0.0092,0.0007,0.0361,0.0294,0.0054,0.1039,22122.0,9062.0,24308.0,9281.0,10173.0,9671.0,0.869,16069.0,1346.0,1239.0
23.0,Cincinnati,45221,28.0,35124.0,OH,133,3.6,2.9,26334,2.6,University of Cincinnati,public,University of Cincinnati-Main Campus,3,3,0.7649,25523.0,0.7415,0.0735,0.0319,0.0381,0.0014,0.0007,0.0366,0.0446,0.0317,0.1186,27499.0,11000.0,27334.0,13004.0,11854.0,9708.0,0.5684,23498.0,2585.0,1230.0
22.0,Lexington,40506,,,KY,133,3.7,3.0,28046,2.5,University of Kentucky,public,University of Kentucky,1,5,0.9577,22078.0,0.7552,0.078,0.0481,0.0264,0.0021,0.0011,0.0372,0.0249,0.0269,0.0664,27591.0,11942.0,28046.0,12543.0,12475.0,10644.0,0.8479,18903.0,1870.0,1213.0
