,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
140,23.0,Newark,7102,35.0,18674.0,NJ,140,3.5,2.4,31034,2.6,New Jersey Institute of Technology,public,New Jersey Institute of Technology,1,2,0.6139,7489.0,0.3466,0.0801,0.2131,0.2239,0.0007,0.0004,0.0328,0.047,0.0553,0.1522,29851.0,16898.0,31918.0,14541.0,13790.0,12688.0,0.5662,20011.0,597.0,1282.0
152,21.0,Athens,45701,35.27972027972028,33920.86713286713,OH,151,3.5,2.7,21360,2.3,Ohio University,public,Ohio University-Main Campus,6,3,0.7393,22936.0,0.8322,0.0562,0.0296,0.0108,0.0022,0.0006,0.035,0.0177,0.0157,0.2322,27272.0,11896.0,21360.0,11250.0,11004.0,8978.0,0.7334,21892.0,2695.0,1183.0
155,21.0,Stillwater,74078,35.27972027972028,33920.86713286713,OK,156,3.5,2.9,23776,2.6,Oklahoma State University,public,Oklahoma State University-Main Campus,1,6,0.7428,20743.0,0.6773,0.0459,0.0754,0.0179,0.0452,0.001,0.0997,0.0353,0.0023,0.125,22868.0,8738.0,23776.0,10258.0,9155.0,8930.0,0.8724,14824.0,1565.0,1206.0
161,21.0,Honolulu,96822,35.27972027972028,33920.86713286713,HI,159,3.5,2.8,33764,2.2,University of Hawaii--Manoa,public,University of Hawaii at Manoa,1,8,0.8315,12583.0,0.1702,0.0148,0.1144,0.3927,0.0016,0.0288,0.2476,0.0285,0.0015,0.1616,23007.0,11754.0,33786.0,11326.0,22317.0,11786.0,0.77,15296.0,667.0,1154.0
168,18.0,Merced,95343,35.27972027972028,33920.86713286713,CA,165,3.5,2.8343347639484984,41612,2.1,University of California--Merced,public,University of California-Merced,1,8,0.6979,7375.0,0.1024,0.0461,0.5325,0.1982,0.0016,0.0068,0.0325,0.074,0.0058,0.0106,34331.0,13598.0,41612.0,9245.0,9497.0,10591.0,0.898,13226.0,1625.0,1114.0
170,21.0,Mississippi State,39762,35.27972027972028,33920.86713286713,MS,171,3.4,2.6,22358,2.4,Mississippi State University,public,Mississippi State University,1,5,0.624,17723.0,0.7209,0.1992,0.0275,0.0125,0.0047,0.0008,0.0177,0.0121,0.0045,0.0774,23483.0,8318.0,22358.0,7794.0,8159.0,8569.0,0.8638,16192.0,1394.0,1195.0
175,21.0,Kent,44242,35.27972027972028,33920.86713286713,OH,176,3.4,2.6,18376,2.806829268292683,Kent State University,public,Kent State University at Kent,8,3,0.8751,22403.0,0.7474,0.0878,0.0363,0.0161,0.0017,0.0005,0.0389,0.0453,0.0259,0.1552,24064.0,10012.0,18544.0,9987.0,8971.0,8972.0,0.5578,18432.0,2540.0,1142.0
177,22.0,Lubbock,79409,35.27972027972028,33920.86713286713,TX,176,3.5,2.8,23011,2.6,Texas Tech University,public,Texas Tech University,1,6,0.6918,30330.0,0.558,0.0605,0.2775,0.0247,0.0033,0.0011,0.0184,0.0519,0.0045,0.1005,22615.0,8860.0,18652.0,9263.0,7193.0,8928.0,0.8819,17134.0,2248.0,1176.0
180,21.0,Madison,53711,35.27972027972028,33920.86713286713,WI,181,3.4,2.8343347639484984,28500,2.806829268292683,Edgewood College,private,Edgewood College,1,3,0.7111,1521.0,0.7876,0.0302,0.0625,0.0289,0.0026,0.002,0.0256,0.0329,0.0276,0.1105,40472.0,28500.0,28500.0,18798.0,9432.0,6049.0,0.5672,24228.0,204.0,1145.0
187,20.0,Muncie,47306,35.27972027972028,33920.86713286713,IN,187,3.5,2.6,25938,2.806829268292683,Ball State University,public,Ball State University,1,3,0.6208,16277.0,0.7946,0.0843,0.0492,0.0118,0.0002,0.001,0.033,0.0145,0.0114,0.0706,23468.0,9774.0,25942.0,8484.0,10886.0,7561.0,0.7978,15187.0,2507.0,1138.0
188,15.0,Montclair,7043,35.27972027972028,33920.86713286713,NJ,187,3.2,2.2,20566,2.806829268292683,Montclair State University,public,Montclair State University,1,2,0.7066,16673.0,0.4146,0.1294,0.2787,0.0589,0.0008,0.0025,0.0296,0.0139,0.0716,0.1104,25517.0,12455.0,20567.0,9372.0,9764.0,9933.0,0.3533,18500.0,2212.0,1070.0
191,21.0,Berrien Springs,49104,35.27972027972028,33920.86713286713,MI,192,3.5,2.8343347639484984,28436,2.806829268292683,Andrews University,private,Andrews University,1,3,0.5766,1439.0,0.2669,0.1925,0.1411,0.1459,0.0028,0.0035,0.0431,0.1779,0.0264,0.0806,38316.0,28436.0,28436.0,15226.0,12945.0,4805.0,0.9504,21460.0,173.0,1203.0
194,19.0,Albuquerque,87131,35.27972027972028,33920.86713286713,NM,192,3.4,2.7,22412,2.6,University of New Mexico,public,University of New Mexico-Main Campus,5,6,0.6704,18912.0,0.3249,0.0243,0.4856,0.0389,0.0567,0.0019,0.0351,0.0197,0.0128,0.212,18937.0,7448.0,22038.0,5545.0,12764.0,8954.0,0.7089,14315.0,1127.0,1103.0
